1/1/2017 Opening Null_Value 0 500
1/1/2017 Expense Food_Exp 5 495
1/1/2017 Deposit Tutoring 69 564
1/2/2017 Deposit Tutoring 57 621
1/2/2017 Expense Food_Exp 24 597
1/2/2017 Deposit Tutoring 59 656
1/3/2017 Expense Academic 12 644
1/3/2017 Expense Academic 5 639
1/4/2017 Deposit Dad_Sent_Some 30 669
1/4/2017 Expense Other_Exp 6 663
1/5/2017 Expense Entertainment 12 651
1/5/2017 Expense Entertainment 18 633
1/5/2017 Expense Other_Exp 5 628
1/7/2017 Deposit Salary_Work 50 678
1/7/2017 Expense Food_Exp 15 663
1/8/2017 Expense Other_Exp 9 654
1/8/2017 Expense Food_Exp 15 639
1/8/2017 Expense Academic 8 631
1/9/2017 Expense Academic 23 608
1/9/2017 Expense Other_Exp 12 596
1/9/2017 Expense Other_Exp 19 577
1/9/2017 Expense Food_Exp 24 553
1/11/2017 Expense Academic 21 532
1/12/2017 Expense Academic 15 517
1/12/2017 Expense Entertainment 17 500
1/12/2017 Expense Other_Exp 16 484
1/13/2017 Deposit Dad_Sent_Some 48 532
1/14/2017 Expense Food_Exp 19 513
1/14/2017 Expense Other_Exp 14 499
1/14/2017 Expense Entertainment 17 482
1/15/2017 Expense Academic 12 470
1/15/2017 Expense Academic 24 446
1/16/2017 Deposit Tutoring 64 510
1/16/2017 Expense Other_Exp 15 495
1/16/2017 Expense Entertainment 20 475
1/17/2017 Deposit Salary_Work 61 536
1/17/2017 Expense Academic 14 522
1/17/2017 Expense Food_Exp 17 505
1/18/2017 Expense Entertainment 22 483
1/18/2017 Deposit Dad_Sent_Some 25 508
1/19/2017 Expense Academic 19 489
1/19/2017 Expense Other_Exp 17 472
1/19/2017 Expense Food_Exp 20 452
1/19/2017 Expense Food_Exp 11 441
1/20/2017 Expense Entertainment 21 420
1/20/2017 Expense Academic 18 402
1/20/2017 Expense Food_Exp 5 397
1/20/2017 Expense Academic 17 380
1/21/2017 Expense Food_Exp 14 366
1/21/2017 Expense Academic 16 350
1/22/2017 Deposit Salary_Work 26 376
1/23/2017 Expense Academic 18 358
1/23/2017 Expense Food_Exp 17 341
1/24/2017 Expense Other_Exp 15 326
1/24/2017 Expense Food_Exp 16 310
1/24/2017 Expense Academic 23 287
1/24/2017 Expense Other_Exp 7 280
1/25/2017 Expense Entertainment 9 271
1/25/2017 Deposit Dad_Sent_Some 38 309
1/26/2017 Expense Academic 10 299
1/26/2017 Expense Academic 9 290
1/26/2017 Expense Academic 6 284
1/27/2017 Expense Academic 23 261
1/27/2017 Expense Food_Exp 18 243
1/27/2017 Expense Entertainment 20 223
1/28/2017 Expense Entertainment 8 215
1/28/2017 Deposit Dad_Sent_Some 45 260
1/28/2017 Expense Food_Exp 15 245
1/28/2017 Deposit Tutoring 52 297
1/29/2017 Deposit Tutoring 35 332
2/1/2017 Expense Other_Exp 14 318
2/1/2017 Expense Other_Exp 23 295
2/1/2017 Expense Food_Exp 7 288
2/2/2017 Deposit Tutoring 51 339
2/2/2017 Expense Entertainment 5 334
2/3/2017 Expense Academic 8 326
2/4/2017 Expense Other_Exp 18 308
2/4/2017 Expense Entertainment 22 286
2/4/2017 Expense Food_Exp 11 275
2/5/2017 Expense Entertainment 24 251
2/5/2017 Deposit Dad_Sent_Some 63 314
2/5/2017 Expense Other_Exp 12 302
2/5/2017 Expense Food_Exp 6 296
2/7/2017 Expense Entertainment 19 277
2/7/2017 Expense Entertainment 22 255
2/7/2017 Expense Entertainment 10 245
2/7/2017 Expense Entertainment 10 235
2/8/2017 Expense Entertainment 17 218
2/8/2017 Expense Other_Exp 11 207
2/9/2017 Expense Academic 9 198
2/9/2017 Expense Food_Exp 10 188
2/9/2017 Deposit Dad_Sent_Some 64 252
2/11/2017 Deposit Salary_Work 60 312
2/11/2017 Deposit Dad_Sent_Some 31 343
2/11/2017 Deposit Tutoring 56 399
2/11/2017 Expense Academic 17 382
2/12/2017 Deposit Dad_Sent_Some 58 440
2/12/2017 Expense Entertainment 8 432
2/13/2017 Expense Food_Exp 17 415
2/13/2017 Expense Academic 10 405
2/13/2017 Deposit Tutoring 71 476
2/13/2017 Expense Other_Exp 22 454
2/14/2017 Deposit Dad_Sent_Some 28 482
2/14/2017 Expense Food_Exp 11 471
2/15/2017 Expense Academic 7 464
2/16/2017 Expense Other_Exp 19 445
2/16/2017 Expense Food_Exp 19 426
2/16/2017 Deposit Tutoring 63 489
2/16/2017 Expense Academic 13 476
2/17/2017 Expense Entertainment 22 454
2/17/2017 Deposit Dad_Sent_Some 48 502
2/17/2017 Expense Other_Exp 16 486
2/17/2017 Deposit Dad_Sent_Some 69 555
2/18/2017 Expense Other_Exp 23 532
2/18/2017 Expense Other_Exp 5 527
2/19/2017 Deposit Dad_Sent_Some 49 576
2/19/2017 Expense Academic 20 556
2/19/2017 Expense Food_Exp 10 546
2/20/2017 Expense Other_Exp 23 523
2/21/2017 Expense Food_Exp 17 506
2/21/2017 Expense Other_Exp 21 485
2/21/2017 Deposit Tutoring 45 530
2/22/2017 Deposit Tutoring 68 598
2/22/2017 Expense Other_Exp 6 592
2/22/2017 Deposit Tutoring 56 648
2/22/2017 Deposit Salary_Work 44 692
2/23/2017 Expense Food_Exp 16 676
2/24/2017 Deposit Salary_Work 40 716
2/24/2017 Expense Food_Exp 7 709
2/24/2017 Expense Other_Exp 10 699
2/25/2017 Expense Other_Exp 19 680
2/26/2017 Deposit Dad_Sent_Some 73 753
2/27/2017 Deposit Dad_Sent_Some 64 817
2/27/2017 Deposit Salary_Work 55 872
2/28/2017 Expense Academic 11 861
2/28/2017 Expense Academic 5 856
2/28/2017 Deposit Salary_Work 70 926
2/28/2017 Expense Academic 18 908
03/01/2017 Expense Food_Exp 4 904
03/01/2017 Deposit Salary 10 914
3/22/17 Deposit Dad_Sent_Some 10000 10914
3/22/17 Deposit Dad_Sent_Some 0 10914
3/22/17 Expense Food_Exp 10000 914
